,name,3,5,10,EXP,EXP 1.4,EXP 1.6,SMT-CBS
0,grid_16x16_a2,0.0144851,0.0161709,0.0116317,0.0136851,0.0173141,0.0153285,0.0135892
1,grid_16x16_a4,0.01878,0.021351,0.020259,0.022255,0.024077,0.025812,0.02
2,grid_16x16_a6,0.0147412,0.0081522,0.0107284,0.0185747,0.0165138,0.0129505,0.0080609
3,grid_16x16_a8,0.020052,0.022476,0.021524,0.022549,0.021629,0.021812,0.01816
4,grid_16x16_a10,0.050476,0.057386,0.05291,0.054557,0.049847,0.05228,0.061733
5,grid_16x16_a12,0.041308,0.043384,0.0459,0.040301,0.040046,0.03803,0.056629
6,grid_16x16_a14,0.074916,0.072232,0.076445,0.075573,0.081542,0.072398,0.092156
7,grid_16x16_a16,0.075124,0.07272,0.072526,0.06808,0.080917,0.072723,0.078179
8,grid_16x16_a18,0.17331,0.17768,0.16987,0.18477,0.17659,0.18264,0.21515
9,grid_16x16_a20,0.21938,0.2357,0.22821,0.23663,0.27243,0.22754,0.44916
10,grid_16x16_a22,0.14881,0.14592,0.16543,0.14906,0.16543,0.14328,0.21118
11,grid_16x16_a24,0.16668,0.15558,0.16356,0.1568,0.15157,0.15139,0.1693
12,grid_16x16_a26,0.24448,0.24957,0.27976,0.26029,0.25841,0.27378,0.25571
13,grid_16x16_a28,0.51557,0.47925,0.48162,0.4785,0.52222,0.49722,0.43264
14,grid_16x16_a30,0.36195,0.31862,0.36161,0.29637,0.31196,0.35603,0.29091
