,name,3,5,10,EXP,EXP 1.4,EXP 1.6
0,grid_32x32_a2,0.07266,0.07096,0.07225,0.07285,0.077906,0.08602
1,grid_32x32_a4,1.1636,1.1706,1.1454,1.144,1.203,1.1586
2,grid_32x32_a6,0.85022,0.81826,0.8607,0.8654,0.83274,0.96252
3,grid_32x32_a8,1.1002,1.062,1.095,1.1024,1.045,1.0992
4,grid_32x32_a10,0.81428,0.7946,0.82496,0.79778,0.81136,0.97752
5,grid_32x32_a12,1.6632,1.6314,1.6376,1.6514,1.6014,1.8718
6,grid_32x32_a14,1.2214,1.1912,1.185,1.1872,1.2076,1.4094
7,grid_32x32_a16,7.04,7.2034,7.0996,7.1738,7.0038,7.8856
8,grid_32x32_a18,4.0002,4.0928,3.8716,3.7792,3.6496,4.4134
9,grid_32x32_a20,4.997,5.0056,4.9064,4.8146,4.7122,5.3898
10,grid_32x32_a22,9.3082,10.624,10.0216,9.8248,9.503,10.0708
11,grid_32x32_a24,14.206,14.888,15.34,14.762,16.752,15.17
12,grid_32x32_a26,5.0182,5.2256,5.0406,4.8958,5.5604,5.0406
13,grid_32x32_a28,6.5898,6.4914,6.4632,6.671,6.2868,6.2196
14,grid_32x32_a30,9.0038,9.0096,8.74,10.3528,8.6434,8.7824
,,67.04876,69.27942,68.30391,69.09503,68.890206,70.53726
