,name,3,5,10,EXP,EXP 1.4,EXP 1.6
0,maze-32-32-2_a2,0.28816,0.30298,0.3972,0.31632,0.43372,0.31672
1,maze-32-32-2_a4,0.39,0.34702,0.42978,0.38084,0.42606,0.3982
2,maze-32-32-2_a6,2.4872,2.3134,2.3124,2.6276,2.4946,2.4314
3,maze-32-32-2_a8,2.6148,2.6034,2.6534,2.5052,2.6414,2.748
4,maze-32-32-2_a10,2.8102,2.7808,2.6652,2.6996,2.7224,2.6236
5,maze-32-32-2_a12,3.6402,3.108,3.0468,2.9964,2.9814,3.0092
6,maze-32-32-2_a14,8.9624,7.5164,7.578,7.149,7.1202,6.9862
7,maze-32-32-2_a16,10.2886,8.5544,8.759,8.0504,8.257,8.0612
8,maze-32-32-2_a18,17.85,18.502,18.494,17.33,17.172,16.784
9,maze-32-32-2_a20,26.734,30.214,27.822,26.082,28,26.282
10,maze-32-32-2_a22,16.006,16.226,17.43,15.698,17.614,14.734
11,maze-32-32-2_a24,23.686,26.18,29.122,24.156,26.672,21.384
12,maze-32-32-2_a26,24.742,23.506,32.514,22.886,26.248,22.558
13,maze-32-32-2_a28,41.258,45.188,36.142,35.886,35.882,37.532
14,maze-32-32-2_a30,53.162,52.426,70.34,56.96,55.938,51.054
,,234.91956,239.7684,259.70578,225.72336,234.60278,216.90252
