name,3,5,10,EXP,EXP 1.4,EXP 1.6
maze-32-32-2_a2,-0.06816000000000003,0.10701999999999995,-0.2072,-0.12632,-0.24372,-0.14672
maze-32-32-2_a4,-0.24000000000000002,-0.17701999999999998,-0.27978000000000003,-0.25084,-0.28606000000000004,-0.2582
maze-32-32-2_a6,-1.5372000000000001,-1.1734000000000002,-1.2323999999999997,-1.7676000000000003,-1.6646,-1.6314000000000004
maze-32-32-2_a8,-1.6547999999999998,-1.3534000000000002,-1.5433999999999999,-1.4451999999999998,-1.6714,-1.838
maze-32-32-2_a10,-1.8402,-1.6808,-1.5752,-1.6796000000000002,-1.8424,-1.7136
maze-32-32-2_a12,-2.5702,-1.6580000000000001,-1.6868,-1.7664,-1.9213999999999998,-1.9691999999999998
maze-32-32-2_a14,-6.2723999999999975,-4.2764,-3.7779999999999996,-4.029000000000001,-4.5302,-4.476199999999999
maze-32-32-2_a16,-6.8886,-3.9243999999999994,-3.1390000000000002,-4.3504,-5.407000000000002,-5.081200000000001
maze-32-32-2_a18,-11.150000000000002,-9.681999999999999,-9.974,-9.339999999999998,-10.712,-10.044000000000002
maze-32-32-2_a20,-16.194000000000003,-10.034000000000002,2.8180000000000014,-15.671999999999997,-15.96,-15.291999999999996
maze-32-32-2_a22,-8.016,-5.846000000000005,-0.030000000000001137,-7.2280000000000015,-9.794,-6.294000000000002
maze-32-32-2_a24,-11.246,-12.469999999999999,7.267999999999997,-12.175999999999998,-17.222,-6.954000000000001
maze-32-32-2_a26,-9.061999999999998,-11.216000000000001,0.045999999999999375,-11.116,-14.628000000000002,-12.868000000000004
maze-32-32-2_a28,-20.598000000000003,-27.028000000000002,31.97800000000001,-8.005999999999997,-16.562000000000012,-20.861999999999995
maze-32-32-2_a30,-23.90199999999999,-3.2860000000000014,13.929999999999993,-20.96,-29.968000000000004,-21.193999999999996
Total,-121.23955999999998,-93.6984,32.59422,-99.91335999999998,-132.41278000000003,-110.62252000000001
