,name,average 3,average 10
0,maze-32-32-2_a2,0.165183333,0.179183333
1,maze-32-32-2_a3,0.536366667,0.598766667
2,maze-32-32-2_a4,0.138083333,0.13805
3,maze-32-32-2_a5,0.891283333,0.973866667
4,maze-32-32-2_a6,0.8023,0.878916667
5,maze-32-32-2_a7,0.890616667,0.9464
6,maze-32-32-2_a8,1.055683333,1.072
7,maze-32-32-2_a9,0.488233333,0.537266667
8,maze-32-32-2_a10,0.992283333,0.972566667
9,maze-32-32-2_a11,1.370333333,1.5135
10,maze-32-32-2_a12,1.127666667,1.181
11,maze-32-32-2_a13,6.1425,5.624666667
12,maze-32-32-2_a14,2.887833333,3.0365
13,maze-32-32-2_a15,9.831166667,10.0405
14,maze-32-32-2_a16,3.575833333,3.602
15,maze-32-32-2_a18,9.257333333,8.947666667
16,maze-32-32-2_a20,14.81833333,17.34833333
17,maze-32-32-2_a22,7.689166667,8.774166667
18,maze-32-32-2_a24,22.755,24.905
19,maze-32-32-2_a26,14.925,14.035
20,maze-32-32-2_a28,33.17833333,32.2
21,maze-32-32-2_a30,47.91166667,50.235
