name,3,5,10,EXP,EXP 1.4,EXP 1.6,SMT-CBS
grid_32x32_a2,0.001568333,-0.005163334,-0.010903334,4.17E-05,0.001694333,0.004200333,0.037228333
grid_32x32_a4,-0.001833333,-0.013683333,-0.122883333,0.024816667,0.02003,0.07162,0.6638
grid_32x32_a6,-0.177466666,0.028133334,-0.348783333,-0.0306,-0.009963333,-0.000263333,0.880216667
grid_32x32_a8,-0.082666666,0.070833334,-0.4365,-0.0425,0.068166667,0.055666667,1.150666667
grid_32x32_a10,-0.1128,0.049883334,-0.27215,-0.028233333,0.069126667,0.030676667,0.889516667
grid_32x32_a12,-0.168333334,-0.441333334,-0.6665,0.078833333,0.161733333,0.032633333,1.773833333
grid_32x32_a14,-0.0875,-0.261,-0.592833334,-0.049833334,0.070833333,0.075033333,1.265833333
grid_32x32_a16,-0.474333334,-1.236166667,-1.663,0.730333333,0.788933333,0.843933333,8.103333333
grid_32x32_a18,-0.562333334,-0.459833334,-1.519833334,0.321333333,0.447033333,0.256533333,4.352833333
grid_32x32_a20,-0.115,0.197166667,-1.5875,0.340666667,0.4842,0.5266,5.596
grid_32x32_a22,-0.03,-0.45833334,-2.01833334,1.378166663,1.51603333,1.24063333,11.15833333
grid_32x32_a24,1.33833333,3.395,-4.245,4.145,4.193,3.752,18.53
grid_32x32_a26,0.500166666,0.496333333,-1.172666667,0.451833333,1.085533333,0.994833333,5.956833333
grid_32x32_a28,0.508833333,0.661166667,-2.359333333,0.483833333,0.7281,1.038,7.316
grid_32x32_a30,1.17033333,0.31283333,-3.61333334,1.241499997,1.49753333,1.20643333,10.57833333
Total,1.706968325,2.335836657,-20.62955335,9.045191659,11.12198766,10.12853366,78.25276166
