name,3,5,10,EXP,EXP 1.4,EXP 1.6,SMT-CBS
maze-32-32-2_a2,-0.050483333,-0.235366667,-0.01935,-0.017533333,-0.01717,0.00874,0.17375
maze-32-32-2_a4,-0.001416667,-0.0264,0.00185,0.016,0.011763333,0.008193333,0.147283333
maze-32-32-2_a6,-0.045933333,-0.24185,-0.176483333,0.03755,0.072456667,0.098726667,0.900816667
maze-32-32-2_a8,0.053916667,-0.23255,-0.09905,-0.04455,0.042176667,0.108366667,1.013616667
maze-32-32-2_a10,0.019483334,-0.102433333,-0.09095,-0.023066666,0.111626667,0.089026667,0.994216667
maze-32-32-2_a12,-0.002,-0.380833333,-0.285666667,-0.158833333,0.0148,0.0329,1.0705
maze-32-32-2_a14,-0.029333333,-0.579833333,-1.139,-0.456166666,0.069766667,0.153766667,2.660166667
maze-32-32-2_a16,0.376666666,-0.852,-1.850833334,0.076,0.922233333,0.790033333,3.773833333
maze-32-32-2_a18,-0.307333334,-2.430666667,-2.127333334,-1.594666667,-0.064866667,-0.350766667,6.393833333
maze-32-32-2_a20,0.29833333,-9.34,-19.80166667,0.426666667,-1.209,-0.157,10.835
maze-32-32-2_a22,-2.2145,-4.600833337,-11.6225,-2.6955,-2.039366667,-2.666166667,5.775833333
maze-32-32-2_a24,-1.03166667,-2.30333334,-24.98833334,-0.575000003,1.95353333,-3.03066667,11.40333333
maze-32-32-2_a26,-6.05216667,-2.6555,-22.92883333,-2.1355,-1.9865,-0.0597,9.6295
maze-32-32-2_a28,-5.68666667,-3.185,-53.14333334,-12.905,-4.34766667,-1.69666667,14.97333333
maze-32-32-2_a30,-1.54,-21.41666667,-56.545,-8.275000003,1.75033333,-2.13766667,27.72333333
Total,-16.21310001,-48.58326668,-194.8164833,-28.32460001,-4.71588001,-8.80888001,97.46834999
