name,3,5,10,EXP,EXP 1.4,EXP 1.6,SMT-CBS
warehouse_a2,0.0205,0.1682,0.048,-0.0276,0.3369,0.4311,6.0498
warehouse_a4,-0.0423,0.087,0.0749,0.0214,0.1415,0.3681,4.8785
warehouse_a6,0.0129,0.101,0.4622,0.2893,0.6654,0.3674,8.2171
warehouse_a8,0.503,0.628,-0.207,-0.777,1.205,0.981,27.537
warehouse_a10,12.35,16.139,9.8,4.724,9.683,10.003,61.087
warehouse_a12,-1.684,1.298,0.932,-6.742,-0.476,-0.191,49.237
warehouse_a14,-7.382,6.409,6.801,-4.976,5.028,6.434,57.63
warehouse_a16,-8.313,-1.386,-4.342,-10.169,0.341,-0.401,33.979
Total,-4.5349,23.4442,13.5691,-17.6569,16.9248,17.9926,248.6154
,,,,,,,
,,,,,,,
,,,,,,,
name,EXP,3,10,EXP 1.4,EXP 1.6,5,SMT-CBS
warehouse_a2,-0.03,0.02,0.05,0.34,0.43,0.17,6.05
warehouse_a4,0.02,-0.04,0.07,0.14,0.37,0.09,4.88
warehouse_a6,0.29,0.01,0.46,0.67,0.37,0.10,8.22
warehouse_a8,-0.78,0.50,-0.21,1.21,0.98,0.63,27.54
warehouse_a10,4.72,12.35,9.80,9.68,10.00,16.14,61.09
warehouse_a12,-6.74,-1.68,0.93,-0.48,-0.19,1.30,49.24
warehouse_a14,-4.98,-7.38,6.80,5.03,6.43,6.41,57.63
warehouse_a16,-10.17,-8.31,-4.34,0.34,-0.40,-1.39,33.98
sum,-17.66,-4.53,13.57,16.92,17.99,23.44,248.62
